comment,種類,数値１,数値２,,魔力影響,運影響,,,
comment,1,計算,打撃id,,未使用,未使用,対象パラメータ,倍率Id,
comment,2,数値,数値id,⇒値の範囲,paramEffect,paramEffect,対象パラメータ,,
comment,3,状態,状態id,⇒確率,paramEffect,paramEffect,上書きデータ,成功率NumberList,
comment,4,能力増減,数値id,⇒確率,paramEffect,paramEffect,[対象パラメータ;持続ターンId],成功率NumberList,
comment,,,,,,,paramsに準拠,,
comment,5,解除,数値リストid,両方、状態、能力,,,解除mesとaniの数値リストid,,
comment,6,ターン状態,状態id,,,,,,
comment,7,成長,mhp、mmp、str、agi、res、wiz、luk,,,,,,
comment,8,スクリプト,スクリプトid,,,,,,
comment,9,特殊,種類:0逃げる,,,,,エフェクトId,
comment,,,1:仲間を呼ぶ,1:即時行動,,,敵Id 0同種,エフェクトId,
comment,10,エンカウント調整,補正割合id,,,,持続歩数,効果切れ時スクリプトId,
comment,,属性Idが違うと重複しない,[率補正,差分lv or 以下先制4つ],,以下不意打ち率4個],,,
comment,,,率補正-1時出現なし差分lvになる,,,,,,
comment,11,フロアダメージ,率Id,,,,,,
comment,,,,効果タイプ,,,,,
comment,,属性,参照id,0:- 1:+ 2:吸,,,,,
id,code,elementId,refId,type,magicId,luckId,value1,value2,
null,,,,,,,,,
1,1,17,1,0,0,0,0,,だげき
2,2,1,1,0,11,0,0,,火魔法小
3,2,1,2,0,11,0,0,,火魔法中
4,2,1,3,0,11,0,0,,火魔法中
5,2,3,4,0,11,0,0,,氷魔法
6,2,3,5,0,11,0,0,,氷魔法
7,2,3,6,0,11,0,0,,氷魔法
8,2,2,7,0,11,0,0,,爆発魔法
9,2,2,8,0,11,0,0,,爆発魔法
10,2,2,9,0,11,0,0,,爆発魔法
11,2,4,10,0,11,0,0,,風魔法
12,2,4,11,0,11,0,0,,風魔法
13,2,4,12,0,11,0,0,,風魔法
14,2,0,13,1,12,0,0,,回復魔法
15,2,0,14,1,12,0,0,,回復魔法
16,2,0,15,1,0,0,0,,回復魔法
17,1,17,2,0,0,0,0,,敵打撃
18,1,18,3,0,0,0,0,,痛恨１
19,1,18,4,0,0,0,0,,痛恨２
20,3,9,3,0,0,6,0,54,腹痛攻撃弱
21,3,0,3,1,0,0,0,41,腹痛回復
22,3,0,1,1,0,7,0,42,ばたん回復50%
23,3,0,1,1,0,0,0,41,ばたん回復
24,2,0,18,1,12,0,0,,33%回復
25,2,0,27,1,12,0,0,,全体回復魔法
26,4,0,19,1,0,0,66,71,守備増50%
27,4,0,20,1,0,0,67,71,守備増75%
28,6,0,2,0,0,0,0,,防御
29,3,10,5,0,0,6,0,54,眠り攻撃弱
30,5,0,18,3,0,0,20,,効果解除
31,8,0,8,0,0,0,0,0,うさぎとび
32,1,18,5,0,0,0,0,,かいしん
33,1,4,9,0,0,0,0,,しんくうは
34,3,10,5,0,0,6,0,52,眠りの息弱
35,3,9,3,0,0,6,0,52,毒の息弱
36,2,12,22,0,11,0,1,,MPダメージ
37,2,12,29,2,0,0,1,,MP吸収
38,4,0,17,1,0,0,66,71,守備増25%全
39,4,0,59,1,0,0,67,71,守備増50%全
40,6,0,20,0,0,0,0,0,逃げる失敗
41,9,0,0,0,0,0,0,10,逃げる
42,9,0,1,0,0,0,0,36,仲間呼び同種
43,9,0,1,0,0,0,9,36,仲間呼びぴよぴよ
44,9,0,1,0,0,0,66,36,仲間呼びヒートぴよ
45,2,5,31,0,18,0,0,,光魔法
46,2,5,32,0,18,0,0,,光魔法
47,2,5,33,0,18,0,0,,光魔法
48,2,6,34,0,11,0,0,,闇魔法
49,2,6,35,0,11,0,0,,闇魔法
