comment,,実行前スクリプト,実行スクリプト,経験値割合,取得金割合,ドロップアイテム割合,いなくなる,速度補正,使用者効果,全体追加表示Id,対象ごと追加表示Id,行動パターンId,すり替えId,試行回数,繰り返し回数
comment,,,,,,,,数値リストIdで指定,,数値リストIdで指定,NumberList,ネスト不可,ネスト不可,0:1回,0:1回
comment,,,,,,,,0:素早さ値,,,⇒NumberMap,未参照項目影響しない,切り替わった場合,1以上：数値リスト,1以上：数値リスト
comment,,,,,,,,1:素早さ割合,,,key=0 メッセージ,,未参照項目影響しない,[min;max],
comment,,,,,,,,2:位置値,,,key=1 オプション,,,,
comment,,,,,,,,3:位置割合,,,⇒NumberList [1;2],,,,
comment,,,,,,,,,,,,,,,
comment,,,,,,,,最優先,,,,2番目,3番目,,
id,,preScriptId,scriptId,expRateId,goldRateId,itemRateId,leave,speedId,userEffectId,dispId1,dispId2,actionPatternListId,switchingId,attemptsId,repeatId
null,,,,,,,,,,,,,,,
1,行先選択,7,8,0,0,0,false,0,0,0,0,0,0,0,0
2,報酬なし,0,0,10,10,10,true,0,0,0,0,0,0,0,0
3,はやて,0,0,0,0,0,false,21,0,0,0,0,0,0,0
4,自爆,0,0,0,0,0,false,0,67,0,0,0,0,0,0
5,効果解除,0,0,0,0,0,false,0,0,16,0,0,0,0,0
6,浄化分岐,0,0,0,0,0,false,0,0,0,0,191,0,0,0
7,連続パンチ,0,0,0,0,0,false,0,0,0,0,0,0,0,12
8,4回試行,0,0,0,0,0,false,0,0,0,0,0,0,32,0
9,味方通常攻撃,0,0,0,0,0,false,0,0,0,0,0,33,0,0
10,会心,0,0,0,0,0,false,0,0,0,34,0,0,0,0
11,瞬間移動,0,69,0,0,0,false,0,0,0,0,0,0,0,0
12,痛恨,0,0,0,0,0,false,0,0,0,38,0,0,0,0
13,脱出,0,29,0,0,0,false,0,0,0,0,0,0,0,0
14,うさぎシリーズ,0,129,0,0,0,false,0,0,0,0,0,0,0,0
15,炎の杖,0,0,0,0,0,false,0,0,331,0,0,0,0,0
16,火炎の杖,0,0,0,0,0,false,0,0,333,0,0,0,0,0
17,こおりのつるぎ,0,0,0,0,0,false,0,0,335,0,0,0,0,0
18,ねむりのつるぎ,0,0,0,0,0,false,0,0,337,0,0,0,0,0
19,ふんさいのメイス,0,0,0,0,0,false,0,0,339,0,0,0,0,0
20,やみのつえ,0,0,0,0,0,false,0,0,341,0,0,0,0,0
21,しゅごのけん,0,0,0,0,0,false,0,0,343,0,0,0,0,0
22,クリスタルソード,0,0,0,0,0,false,0,0,345,0,0,0,0,0
23,かさきりのたて,0,0,0,0,0,false,0,0,347,0,0,0,0,0
24,せいじゃくのたて,0,0,0,0,0,false,0,0,349,0,0,0,0,0
25,ひかるいし,0,0,0,0,0,false,0,0,351,0,0,0,0,0
26,うさぎのけん,0,0,0,0,0,false,0,0,353,0,0,0,0,0
27,こうきのたて,0,0,0,0,0,false,0,0,355,0,0,0,0,0
28,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
