comment,,味方最大値,味方加算割合,敵最小値,敵最大値,敵加算割合,
comment,,,×対象値,,,,
id,min1,max1,rate1,min2,max2,rate2,
null,,,,,,,
1,25,40,0,10,17,0,火
2,65,95,0,40,55,0,
3,140,220,0,80,120,0,
4,30,50,0,15,20,0,氷
5,80,110,0,50,55,0,
6,175,190,0,100,120,0,
7,15,25,0,7,12,0,爆発
8,35,45,0,25,35,0,
9,90,100,0,70,80,0,
10,10,40,0,8,20,0,風
11,25,60,0,20,40,0,
12,60,150,0,40,100,0,
13,40,60,0,30,40,0,回復
14,95,120,0,70,85,0,
15,0,0,25,500,500,0,
16,5,10,0,4,7,0,火の粉
17,0,0,23,0,0,23,25%
18,0,0,27,0,0,27,33%
19,0,0,24,0,0,24,50%
20,0,0,28,0,0,28,75%
21,0,0,25,0,0,25,100%
22,3,6,0,3,6,0,MPダメージ
23,0,0,26,0,0,26,2倍
24,0,0,40,0,0,40,2.5倍
25,0,0,49,0,0,49,3倍
26,40,50,0,30,40,0,いやしのつえ
27,85,130,0,70,110,0,全体回復魔法
28,35,60,0,35,40,0,やくそう
29,2,11,0,2,11,0,MPダメージ中
30,8,18,0,8,18,0,MPダメージ大
31,17,28,0,12,20,0,光
32,32,51,0,28,40,0,
33,103,130,0,80,110,0,
34,28,42,0,20,32,0,闇
35,50,69,0,36,51,0,
36,99,120,0,85,100,0,
37,10,16,0,15,25,0,炎息
38,22,28,0,30,43,0,
39,40,48,0,53,78,0,
40,8,13,0,10,20,0,氷息
41,18,22,0,35,51,0,
42,32,38,0,77,85,0,
43,0,0,50,0,0,50,66%
44,1,1,0,2,2,0,2回行動
45,0,0,0,0,0,0,0回行動
46,10,10,0,10,10,0,回復条件10ダメ
47,0,0,61,0,0,61,1割り増し
48,0,0,27,0,0,27,回復条件33%ダメ
49,0,0,50,0,0,50,回復条件66%ダメ
50,4,6,0,0,0,0,成長１
51,3,5,0,0,0,0,成長２
52,1,3,0,0,0,0,成長３
53,0,0,62,0,0,62,85%
54,0,0,58,0,0,58,90%
55,0,0,61,0,0,61,110%
56,0,10,24,0,0,24,50%
57,0,0,30,0,0,30,150%
58,70,90,0,100,130,0,氷特大
59,0,0,64,0,0,64,40%
60,70,90,0,110,120,0,炎特大
61,35,50,0,24,32,0,ほのおのつえ
62,40,60,0,28,38,0,かえんのつえ
63,0,0,29,0,0,29,125%
64,60,80,0,55,70,0,こおりのつるぎ
65,45,60,0,40,50,0,げんきのつえ
66,110,122,0,105,120,0,やみのつえ
67,70,105,0,60,90,0,しゅごのけん
68,35,70,0,30,60,0,かぜききりのたて
69,-5,-5,0,-5,-5,0,5軽減
70,-10,-10,0,-10,-10,0,10軽減
71,-15,-15,0,-15,-15,0,15軽減
72,0,0,66,0,0,66,15%
73,0,0,67,0,0,67,20%
74,1,1,0,1,2,24,1～2回行動50%
75,1,1,0,1,3,24,1～3回行動50%
76,1,1,0,1,2,27,1～2回行動33%
77,1,1,0,1,3,27,1～3回行動33%
78,1,1,0,2,3,24,2～3回行動50%
79,12,108,0,36,108,0,いなずま
80,0,0,62,0,0,62,15%軽減
81,0,0,71,0,0,71,20%軽減
82,1,1,0,1,1,0,1回復
83,12,108,0,12,69,0,いなずま弱
