comment,,待機する長さ,コマンドリスト,0:待機,,,,,,,,,,,,,,,,,,,,,,,,,,,
comment,,,,1:フラッシュ,,r,g,b,a,,,,,,,,,,,,,,,,,,,,,,
comment,,,,2:不透明度,,不透明度,,,,,,,,,,,,,,,,,,,,,,,,,
comment,,,,3:ブラー,,横方向,縦方向,,,,,,,,,,,,,,,,,,,,,,,,
comment,,,,4:ノイズ,,強さ,,,,,,,,,,,,,,,,,,,,,,,,,
comment,,,,5:表示,,1:非表示 2:表示,,,,,,,,,,,,,,,,,,,,,,,,,
comment,,,,6:移動,,タイプ,x,y,,,,,,,,,,,,,,,,,,,,,,,
comment,,,,7:効果音,,soundId,,,,,,,,,,,,,,,,,,,,,,,,,
comment,,,,8:拡大,,,,,,,,,,,,,,,,,,,,,,,,,,,
comment,,,,9:回転,0:リセット1:角度を割る数,加算角度,,,,,,,,,,,,,,,,,,,,,,,,,
comment,,,,10:Zオーダー,,タイプ,値,,,,,,,,,,,,,,,,,,,,,,,,
comment,,,,11:設定,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,name,length,*list*,0.code,0.duration,0.params,1.code,1.duration,1.params,2.code,2.duration,2.params,3.code,3.duration,3.params,4.code,4.duration,4.params,5.code,5.duration,5.params,6.code,6.duration,6.params,7.code,7.duration,7.params,8.code,8.duration,8.params,*list*
null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,味方ダメージ,8,[,7,,*[9]*,11,0,*[0;2]*,6,0,*[1;4;-4]*,0,4,,6,0,*[1;0;0]*,0,4,,6,0,*[1;-4;4]*,0,4,,6,0,*[1;0;0]*,]
2,敵ダメージ,8,[,7,,*[9]*,2,0,*[0]*,0,4,,2,0,*[255]*,0,4,,2,0,*[0]*,0,4,,2,0,*[255]*,,,,]
3,味方攻撃,8,[,7,,*[7]*,,,,,,,,,,,,,,,,,,,,,,,,,]
4,敵攻撃,6,[,7,,*[8]*,10,0,*[10]*,8,8,*[3;26;26]*,0,8,,8,0,*[1;0;0]*,10,0,*[0]*,,,,,,,,,,]
5,呪文,8,[,7,,*[10]*,1,8,*[255;255;0;255]*,0,8,,,,,,,,,,,,,,,,,,,,]
6,物理ダメージなし,1,[,7,,*[11]*,,,,,,,,,,,,,,,,,,,,,,,,,]
7,倒した,1,[,5,0,*[1]*,,,,,,,,,,,,,,,,,,,,,,,,,]
8,回避ダメージなし,1,[,7,,*[12]*,,,,,,,,,,,,,,,,,,,,,,,,,]
9,回復,1,[,7,,*[13]*,,,,,,,,,,,,,,,,,,,,,,,,,]
10,会心,1,[,7,,*[18]*,,,,,,,,,,,,,,,,,,,,,,,,,]
11,痛恨se,1,[,7,,*[39]*,,,,,,,,,,,,,,,,,,,,,,,,,]
12,味方バフ,8,[,7,,*[40]*,,,,,,,,,,,,,,,,,,,,,,,,,]
13,敵バフ,8,[,7,,*[40]*,,,,,,,,,,,,,,,,,,,,,,,,,]
14,味方デバフ,8,[,7,,*[41]*,0,8,,,,,,,,,,,,,,,,,,,,,,,]
15,敵デバフ,8,[,7,,*[41]*,3,8,*[4;4]*,0,8,,3,0,*[0;0]*,,,,,,,,,,,,,,,,]
16,味方魂抜き,8,[,7,,*[19]*,0,8,,,,,,,,,,,,,,,,,,,,,,,]
17,敵魂抜き,8,[,7,,*[19]*,2,8,*[0]*,0,8,,,,,,,,,,,,,,,,,,,,]
18,消滅（敵だけ）,8,[,7,,*[20]*,3,8,*[4;8;0]*,0,8,,5,0,*[1]*,,,,,,,,,,,,,,,,]
19,敵逃げる,8,[,7,,*[17]*,8,8,*[3;24;24]*,0,8,,5,0,*[1]*,,,,,,,,,,,,,,,,]
20,パーティ逃げる,1,[,7,,*[17]*,,,,,,,,,,,,,,,,,,,,,,,,,]
21,毒沼,4,[,7,,*[9]*,1,8,*[0;255;255;255]*,0,4,,,,,,,,,,,,,,,,,,,,]
22,腹痛ダメージ,4,[,7,,*[9]*,1,8,*[0;255;0;255]*,0,4,,,,,,,,,,,,,,,,,,,,]
23,呼ばれた,8,[,8,0,*[1;24;24]*,0,1,,8,8,*[3;1;1]*,0,8,,,,,,,,,,,,,,,,,]
24,復活,8,[,7,,*[21]*,2,0,*[0]*,0,1,,2,32,*[255]*,0,32,,,,,,,,,,,,,,]
25,帰還out,150,[,7,,*[10]*,3,150,*[600;10]*,0,150,,,,,,,,,,,,,,,,,,,,]
26,帰還in,150,[,99,,*[9]*,3,150,*[0;0]*,0,150,,,,,,,,,,,,,,,,,,,,]
27,戦闘ヘ,16,[,99,,*[10]*,1,30,*[255;255;255;255]*,0,40,,,,,,,,,,,,,,,,,,,,]
28,ブラー消去,1,[,3,0,*[0;0]*,,,,,,,,,,,,,,,,,,,,,,,,,]
29,うさぎ神移動下,30,[,7,,*[10]*,3,150,*[150;150]*,0,30,,,,,,,,,,,,,,,,,,,,]
30,うさぎ神移動上,30,[,7,,*[10]*,3,150,*[0;150]*,0,30,,,,,,,,,,,,,,,,,,,,]
31,ピカ,16,[,1,8,*[255;255;0;255]*,0,64,,1,8,*[255;255;0;255]*,0,64,,1,8,*[255;255;0;255]*,,,,,,,,,,,,,]
32,橋出現,8,[,7,,*[22]*,1,15,*[255;255;0;255]*,0,15,,,,,,,,,,,,,,,,,,,,]
33,不透明度0-255,60,[,2,0,*[0]*,0,1,,2,60,*[255]*,0,60,,,,,,,,,,,,,,,,,]
34,1回転,10,[,7,0,*[12]*,9,15,*[360]*,0,15,,9,0,*[0]*,,,,,,,,,,,,,,,,]
35,敵浄化,10,[,7,,*[23]*,2,8,*[0]*,6,8,*[2;0;-10]*,0,8,,,,,,,,,,,,,,,,,]
36,味方攻撃減,8,[,7,,*[24]*,0,8,,,,,,,,,,,,,,,,,,,,,,,]
37,敵攻撃減,8,[,7,,*[24]*,3,8,*[0;4]*,0,8,,3,0,*[0;0]*,,,,,,,,,,,,,,,,]
38,みつめる,8,[,7,,*[25]*,0,8,,,,,,,,,,,,,,,,,,,,,,,]
39,しんくうは,4,[,7,,*[26]*,0,8,,,,,,,,,,,,,,,,,,,,,,,]
40,せんぷう,4,[,7,,*[27]*,0,8,,,,,,,,,,,,,,,,,,,,,,,]
41,ステップ,4,[,7,,*[37]*,0,8,,,,,,,,,,,,,,,,,,,,,,,]
42,バリア冷,4,[,7,,*[38]*,1,8,*[0;0;255;255]*,0,8,,,,,,,,,,,,,,,,,,,,]
43,バリア暖,4,[,7,,*[38]*,1,8,*[255;0;0;255]*,0,8,,,,,,,,,,,,,,,,,,,,]
44,炎をはく,8,[,7,,*[15]*,1,8,*[255;0;0;255]*,0,8,,,,,,,,,,,,,,,,,,,,]
45,氷をはく,8,[,7,,*[15]*,1,8,*[0;0;255;255]*,0,8,,,,,,,,,,,,,,,,,,,,]
46,痛恨攻撃,6,[,7,,*[8]*,10,0,*[10]*,8,8,*[3;40;40]*,1,8,*[255;255;255;255]*,0,8,,8,0,*[1;0;0]*,10,0,*[0]*,,,,,,,]
47,バリア,4,[,7,,*[9]*,1,8,*[255;255;0;255]*,0,8,,,,,,,,,,,,,,,,,,,,]
48,超音波,4,[,7,,*[8]*,1,8,*[255;255;255;128]*,0,8,,,,,,,,,,,,,,,,,,,,]
49,異常息,4,[,7,,*[42]*,1,8,*[0;255;0;128]*,0,8,,,,,,,,,,,,,,,,,,,,]
50,ちょい行動,6,[,7,,*[0]*,10,0,*[10]*,8,4,*[3;61;61]*,0,4,,8,0,*[1;0;0]*,10,0,*[0]*,,,,,,,,,,]
51,やりまわし,6,[,7,,*[43]*,1,4,*[128;196;255;128]*,0,4,,1,4,*[128;196;255;128]*,0,4,,1,4,*[128;196;255;128]*,0,4,,,,,,,,]
52,魔法道具,8,[,7,,*[0]*,1,8,*[0;255;0;255]*,0,8,,,,,,,,,,,,,,,,,,,,]
53,クリスタルキング,16,[,99,,*[0]*,1,30,*[0;0;255;255]*,0,40,,,,,,,,,,,,,,,,,,,,]
