comment,,守備力,軽減
comment,,,NumberList>map
id,,value,cutId
null,,,
1,おうきゅうのふく,7,0
2,かわのよろい,12,0
3,きぬのローブ,16,251
4,うろこのよろい,21,0
5,てつのよろい,26,253
6,ミスリルローブ,32,254
7,はがねのよろい,40,0
8,とうぞくのガウン,32,255
9,まほうのよろい,48,256
10,せいなるよろい,52,257
11,やさしいころも,42,258
12,ぎんのむねあて,44,259
13,きしのよろい,68,0
14,ドラゴンアーマ,62,260
15,デモンズガード,70,0
16,こおりのむねあて,60,261
17,ほのおのよろい,78,262
18,きりのローブ,55,263
19,エルフのローブ,58,264
20,だいちのプレート,90,265
21,かわのたて,6,0
22,うろこのたて,10,0
23,てつのたて,14,267
24,かざきりのたて,16,268
25,せいじゃくのたて,20,0
26,ようさいのたて,50,269
27,こうきのたて,33,270
28,せいれいのたて,45,271
29,ルーンシールド,26,0
30,うさぎのけん,50,276
31,かわのかぶと,4,0
32,ヘアバンド,3,0
33,まどうしのぼうし,8,0
34,てつかぶと,18,0
35,こうていのかんむり,22,272
36,ししかぶと,35,273
37,まほうのかぶと,20,274
38,はねぼうし,14,275
39,予約,5,0
40,予約,5,0
41,ちからのゆびわ,5,0
42,いちょうカード,5,0
43,しんせいのリング,5,0
44,ほしのブレスレット,5,0
45,はやてのリング,5,0
46,まもりのうでわ,25,0
47,とっしんベルト,5,0
48,しゅくふくのごふ,5,0
49,あんていのゆびわ,5,0
50,プリズムシール,5,0
51,空き,5,0
52,うさぎのはね,10,0
53,うさぎのこうら,100,0
