comment,,画像名,使用画像範囲,,,,性別,種族,レベル,知能Id,地面からの距離,パラメーター,mhp,mmp,str,agi,res,wiz,luk,,,会心,回避,命中,,属性守備力,混乱時行動,行動回数,経験値,ゴールド,落とすどうぐ,,,,,道具入手率,パターンリストid,HP補正,MP補正
id,name,imageName,x,y,width,height,genderId,raceId,level,intelligenceId,boots,*params*,0,1,2,3,4,5,6,*params*,*subParams*,0,1,2,*subParams*,elementDefs,confuseAction,actionTimesId,exp,gold,*itemIds*,0,1,2,*itemIds*,itemRatesId,patternListId,hpCorrectId,mpCorrectId
null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,つのぷよ,pipo-enemy009.png,40,80,40,40,3,4,1,1,0,[,18,0,14,4,5,0,0,],[,0,0,256,],111,24,0,1,2,[,1,21,,],204,1,48,0
2,わんころ,pipo-enemy002.png,30,30,60,90,3,2,1,2,0,[,22,0,16,8,7,0,3,],[,0,0,256,],112,24,0,2,3,[,1,81,,],204,2,48,0
3,こうもり,pipo-enemy001.png,30,30,60,90,3,3,2,2,0,[,20,3,15,12,4,0,3,],[,0,0,256,],113,24,0,2,1,[,1,81,,],204,3,48,0
4,つくしへび,pipo-enemy005a.png,30,20,60,100,3,13,2,1,0,[,25,0,20,3,6,0,0,],[,0,0,256,],114,24,0,2,5,[,1,71,,],204,4,47,0
5,おたまん,pipo-enemy003.png,30,60,60,60,3,13,2,1,0,[,24,0,22,1,3,0,0,],[,0,0,256,],115,24,0,3,4,[,1,6,,],204,5,48,0
6,つのぷよにい,pipo-enemy009a.png,40,80,40,40,3,4,3,1,0,[,21,0,21,8,8,0,0,],[,0,0,256,],116,24,0,2,6,[,1,21,,],204,6,48,0
7,つのかぶと,pipo-enemy004.png,27,60,66,60,3,5,3,1,0,[,24,0,38,4,40,0,5,],[,0,0,256,],117,24,0,5,7,[,1,82,,],204,7,47,0
8,いやしきのこ,pipo-enemy008.png,29,48,62,72,3,6,3,6,0,[,29,8,19,18,10,0,0,],[,0,0,256,],118,24,0,4,12,[,1,2,,],203,8,0,0
9,ぴよぴよ,pipo-enemy035.png,40,74,40,46,3,3,4,5,0,[,15,0,6,23,2,0,2,],[,0,16,256,],119,24,0,2,4,[,1,21,,],204,9,48,0
10,ゆうれい,pipo-enemy010.png,30,24,60,96,3,12,6,2,0,[,32,-1,26,17,4,6,0,],[,0,0,256,],120,24,0,4,2,[,2,6,,],204,10,49,0
11,かえんぐるま,pipo-enemy012.png,30,32,60,88,3,7,6,2,0,[,28,3,23,21,8,4,0,],[,0,0,256,],121,24,0,5,3,[,1,3,,],204,11,49,0
12,じゃき,pipo-enemy011.png,30,26,60,94,3,10,7,1,0,[,38,0,33,10,13,0,7,],[,0,0,256,],122,24,0,7,7,[,1,23,,],204,12,48,0
13,ノッカー,pipo-enemy013.png,32,46,56,74,3,10,7,12,0,[,34,0,35,14,15,0,4,],[,0,0,256,],123,24,0,6,10,[,1,52,,],204,13,48,0
14,ぴよバード,pipo-enemy036.png,20,50,80,70,3,3,8,2,0,[,35,4,41,28,12,0,12,],[,0,0,256,],124,24,0,11,20,[,1,82,,],204,14,48,0
15,へなへなプリン,cm_001.png,0,0,71,48,3,4,8,1,0,[,29,0,32,31,5,8,0,],[,0,0,256,],125,24,0,8,1,[,2,72,,],203,15,48,0
16,パンチャー,pipo-enemy014.png,30,38,60,82,3,10,8,2,0,[,42,0,42,38,16,0,10,],[,0,32,256,],126,24,0,12,25,[,1,4,,],204,16,48,0
17,まどうし,pipo-enemy025.png,0,20,120,100,3,1,8,2,0,[,31,3,32,33,13,10,5,],[,0,0,256,],127,24,0,10,16,[,3,81,,],203,17,48,0
18,ねずこう,pipo-enemy034.png,36,60,56,60,3,2,9,1,0,[,33,0,39,42,8,0,10,],[,0,128,256,],128,24,0,5,88,[,2,7,,],203,18,47,0
19,きょだいぐも,pipo-enemy027.png,10,48,100,72,3,5,9,1,0,[,51,0,45,18,20,4,3,],[,0,0,256,],129,24,0,12,14,[,1,8,,],204,19,48,0
20,くものけしん,pipo-enemy029.png,16,10,88,110,3,7,9,2,0,[,39,8,48,37,16,12,0,],[,0,0,256,],130,24,0,13,22,[,1,4,,],204,20,48,0
21,かぼちゃん,pipo-enemy038.png,18,12,80,108,3,7,9,2,0,[,25,12,37,32,15,15,5,],[,0,0,256,],131,24,0,15,23,[,4,28,,],204,21,48,0
22,がいこつ,pipo-enemy039.png,18,36,84,84,3,8,10,1,0,[,44,8,61,11,1,0,0,],[,0,0,256,],132,24,0,14,1,[,1,52,,],204,22,49,0
23,マジックバット,pipo-enemy001a.png,30,30,60,90,3,3,10,2,0,[,28,10,42,31,9,12,0,],[,0,0,256,],133,24,0,13,18,[,2,3,9,],204,23,48,0
24,とうちゅうかそう,pipo-enemy005.png,30,20,60,100,3,5,11,1,0,[,39,6,46,15,14,0,0,],[,0,0,256,],134,24,0,15,6,[,1,6,,],204,24,48,0
25,ウオークウッド,pipo-enemy006.png,4,6,112,114,3,9,13,1,0,[,61,32,66,12,28,0,0,],[,0,0,256,],135,24,76,34,56,[,1,25,,],203,25,47,0
26,ばけものはな,pipo-enemy007.png,18,34,84,86,3,9,11,1,0,[,34,6,52,21,21,0,0,],[,0,0,256,],136,24,0,17,25,[,6,53,,],204,26,48,0
27,サニーレイス,pipo-enemy010a.png,30,24,60,96,3,12,12,2,0,[,41,14,40,43,15,13,0,],[,0,0,256,],137,24,0,19,14,[,3,83,,],204,27,49,0
28,ちょうじん,pipo-enemy022.png,10,0,100,120,3,3,13,2,0,[,53,8,60,61,24,6,13,],[,0,0,256,],138,24,0,22,47,[,1,26,,],204,28,48,0
29,おおさそり,pipo-enemy028.png,12,34,96,86,3,5,13,2,0,[,36,13,62,16,120,0,0,],[,0,0,256,],139,24,0,28,25,[,2,84,,],204,29,47,0
30,ぷりぷりゼリー,cm_001_2.png,0,0,71,51,3,4,13,9,0,[,36,0,48,26,23,0,0,],[,0,0,256,],140,24,0,23,14,[,2,8,,],203,30,48,0
31,くまさん,pipo-enemy037.png,5,15,110,105,3,2,15,12,0,[,65,0,101,13,80,0,15,],[,0,0,256,],141,24,0,48,20,[,1,25,,],204,31,50,0
32,おおとかげ,pipo-enemy016.png,15,35,82,85,3,13,14,1,0,[,36,0,71,46,45,0,0,],[,0,0,256,],142,24,0,25,32,[,1,4,,],204,32,48,0
33,まんまる,pipo-enemy031.png,27,45,67,75,3,2,14,5,0,[,41,0,80,4,42,0,21,],[,0,0,256,],143,24,0,31,22,[,7,2,,],204,33,48,0
34,どくばな,pipo-enemy007a.png,18,34,84,86,3,9,14,2,0,[,32,8,45,12,16,0,0,],[,0,0,256,],144,24,0,27,28,[,2,1,,],203,34,48,0
35,あくま,pipo-enemy040.png,12,25,96,95,3,14,15,1,0,[,51,32,81,35,52,20,15,],[,0,0,256,],145,24,0,44,31,[,4,32,,],204,35,49,0
36,ホワイトナイト,pipo-enemy041b.png,20,32,80,88,3,1,15,2,0,[,65,0,108,71,80,0,18,],[,0,16,256,],146,24,0,56,88,[,1,33,17,],203,36,48,0
37,デッドロック,pipo-enemy039b.png,18,36,84,84,3,8,14,1,0,[,48,16,73,33,4,0,0,],[,0,0,256,],147,24,0,39,12,[,2,91,9,],204,37,48,0
38,じゅじゅつし,pipo-enemy025b.png,0,20,120,100,3,1,14,2,0,[,40,28,61,46,38,50,11,],[,0,0,256,],148,24,0,41,52,[,1,32,9,],204,38,48,0
39,キュミラス,pipo-enemy029a.png,16,10,88,110,3,7,14,2,0,[,44,-1,71,32,28,14,0,],[,0,0,256,],149,24,0,42,35,[,2,7,,],204,39,48,0
40,おばけこぞう,pipo-enemy017.png,5,20,110,100,3,12,20,1,0,[,121,40,118,62,55,0,5,],[,0,0,256,],150,24,0,99,32,[,1,24,16,],203,40,49,0
41,ひとつめこぞう,pipo-enemy020.png,12,0,92,120,3,10,20,1,0,[,108,42,70,14,110,0,2,],[,0,0,256,],151,24,0,101,15,[,2,83,18,],203,41,49,0
42,あかおに,pipo-enemy019.png,3,0,114,120,3,10,18,1,0,[,95,0,128,21,100,0,17,],[,0,0,256,],152,24,0,88,15,[,1,29,,],204,42,48,0
43,つのメタル,pipo-enemy009b.png,40,80,40,40,3,4,17,1,0,[,4,-1,37,120,999,45,45,],[,0,8,256,],153,24,0,1200,120,[,17,20,,],205,43,47,0
44,こがねかぶと,pipo-enemy004b.png,27,60,66,60,3,5,17,1,0,[,25,-1,21,85,150,50,40,],[,0,8,256,],154,24,0,1,434,[,20,17,,],205,44,47,0
45,あばれいぬ,pipo-enemy002b.png,30,30,60,90,3,2,18,9,0,[,48,0,99,60,41,0,13,],[,0,0,256,],155,24,0,54,40,[,1,2,,],204,45,48,0
46,アークデーモン,pipo-enemy024.png,14,8,94,112,3,14,19,2,0,[,101,167,150,43,92,43,21,],[,0,0,256,],156,24,76,103,56,[,4,36,9,],204,46,47,0
47,シャインバット,pipo-enemy001b.png,30,30,60,90,3,3,18,2,0,[,33,-1,34,44,12,19,0,],[,0,0,256,],157,24,0,24,80,[,1,84,9,],204,47,48,0
48,おおなめこ,pipo-enemy008b.png,29,48,62,72,3,15,20,1,0,[,54,0,87,60,58,0,0,],[,0,0,256,],158,24,0,62,20,[,1,2,,],204,48,48,0
49,アングラー,pipo-enemy042.png,0,40,120,80,3,15,20,1,0,[,121,0,127,50,71,0,0,],[,0,0,256,],159,24,0,127,80,[,2,57,14,],204,49,48,0
50,すいせいノッカー,pipo-enemy013b.png,32,46,56,74,3,10,20,12,0,[,50,12,78,23,32,0,18,],[,0,8,256,],160,24,76,71,34,[,1,52,,],204,50,48,0
51,やみのたましい,pipo-enemy010b.png,30,24,60,96,3,12,21,1,0,[,74,-1,90,11,34,77,60,],[,0,0,256,],161,24,0,97,31,[,4,8,,],204,51,50,0
52,グリーンマジック,pipo-enemy038a.png,18,12,80,108,3,7,21,2,0,[,85,-1,78,32,2,122,40,],[,0,0,256,],162,24,0,114,49,[,1,59,9,],204,52,48,0
53,こうてつろう,pipo-enemy028a.png,12,34,96,86,3,5,21,1,0,[,75,8,180,21,240,0,0,],[,0,0,256,],163,24,0,167,8,[,2,57,,],204,53,49,0
54,スリミー,pipo-enemy034b.png,36,60,56,60,3,2,21,2,0,[,48,10,44,152,10,0,180,],[,0,128,256,],164,24,0,23,256,[,1,20,40,],206,54,47,0
55,やみのていおう,pipo-boss001.png,35,0,250,150,3,14,24,2,0,[,166,-1,200,54,178,132,66,],[,0,64,256,],165,24,77,312,240,[,14,5,34,],206,55,48,0
56,シャドウォーク,pipo-enemy006b.png,4,6,112,114,3,9,22,1,0,[,121,100,162,4,40,0,100,],[,0,0,256,],166,24,78,202,63,[,16,75,,],206,56,48,0
57,ぷくぷくムース,cm_001_3.png,0,0,71,61,3,4,20,9,0,[,74,-1,115,11,62,0,0,],[,0,0,256,],167,24,0,78,45,[,2,92,,],203,57,48,0
