comment,名前,エンカウントId,地形タイプ
id,,encounterId,terrainType
null,,,
1,ラプリエール周辺,1,0
2,ラプリエール北,2,0
3,ラプリエール南,3,0
4,ラプリエール～アルビエ,4,0
5,ラプリエール～アルビエ南,5,0
6,アルビエ周辺,6,0
7,いやしの家周辺,7,0
8,いやしの実周辺,8,0
9,アルビエ北,9,0
10,北の洞窟南周辺,10,0
11,北の洞窟北周辺,11,0
12,ポートムード周辺,12,0
13,イルデリ港周辺,13,0
14,魔女の塔周辺,14,0
15,ポートムード東隙間,15,0
16,ポートムード東,16,0
17,ピクサル山西,17,0
18,ピクサル山周辺,18,0
19,ピクサル山南,19,0
20,ブラス周辺,20,0
21,停泊所周辺,30,229
22,イリシア周辺,31,229
23,ペドロウム北,32,229
24,ペドロウム西,33,229
25,ペドロウム周辺,34,229
26,ペドロウム南,35,229
27,ペドロウム南西,36,229
28,シュタージ南,37,229
29,シュタージ周辺,38,229
30,シュタージ西,39,229
31,光の塔南,40,229
32,光の塔周辺,41,229
33,聖なる神殿周辺,42,229
34,試練の洞窟北,43,229
35,ナクリアル南,44,229
36,ナクリアル周辺,45,229
37,闇の洞窟周辺,46,229
38,大陸北側,47,229
39,イトランド周辺,48,229
40,イトランド東,49,229
41,レゼ周辺,50,229
42,レゼ東,51,229
43,ドレイス北,52,229
44,ドレイス周辺弱,53,229
45,ドレイス周辺強,54,229
46,ドレイス南,55,229
47,ドレイス境界,56,229
48,ドレイスへの小道,57,229
49,たまもり小島,58,229
50,レイドス入口,59,229
51,レイドス島,60,229
52,レイドス周辺,61,229
53,連絡路周辺,62,229
54,陸路１,63,229
55,陸路２,64,229
56,陸路３,65,229
57,うさぎ山道南,66,229
58,うさぎ山道周辺,67,229
59,うさぎ山道への小道,68,229
60,うさぎ山道北,69,229
61,運河南,70,230
62,運河西,71,230
63,運河北,72,230
64,運河レゼ,73,230
65,運河連絡通路,74,230
66,運河東,75,230
67,湖北,76,230
68,湖南,77,230
69,川うさぎ南,78,230
70,川うさぎ北,79,230
71,川うさぎ東,80,230
