comment,,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,priority,partId,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,*pages*
null,,,,,,,,,,,,,,,,,,,,
1,世界,0x08,,,,,,,,in,,,,,[,1,,,,]
2,うさぎ王国,0x08,,,,,,,,in,,,,,[,2,,,,]
3,洞窟入口1-1,0x08,,,,,,,,in,,,,,[,3,,,,]
4,洞窟入口1-2,0x08,,,,,,,,in,,,,,[,4,,,,]
5,宝７７,0x02,,,,,,,,in,,,,1,[,,88,54,5,]
6,宝７８,0x02,,,,,,,,in,,,,1,[,,88,54,6,]
7,ジャンプ台,0x08,,,,,,,,out,0,,,,[,,145,,,]
8,洞窟入口２,0x08,,,,,,,,in,,,,,[,7,,,,]
9,予約,0x08,,,,,,,,in,,,,,[,8,,,,]
10,裏への近道,0x08,,,,,,,,in,,,,,[,9,,,,]
