comment,,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,partId,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,1.trigger,*pages*
null,,,,,,,,,,,,,,,,,,,,
1,表,0x08,,,,,,,,in,,,,[,1,,,,,]
2,裏,0x08,,,,,,,,in,,,,[,2,,,,,]
3,うさぎ神への道,0x08,,,,,,,,in,,,,[,3,,,,,]
4,宿屋,0x01,16,6,1,1,,0,0,,,,,[,4,,,,,]
5,道具,0x01,16,3,2,1,,0,0,,,,,[,5,,,,,]
6,医者,0x01,16,7,1,1,,0,0,,,,,[,6,,,,,]
7,預り所,0x01,15,0,0,1,,0,0,,,,,[,7,,,,,]
8,セーブ,0x02,,,,,,,,in,,,,[,,15,,,,]
9,案内,0x01,16,1,0,1,r1,1,0,,,,,[,8,,,,,]
10,長老,0x01,16,4,0,1,,0,0,,,,,[,9,,,,,]
11,見張り,0x01,58,4,2,1,,0,0,,,,,[,10,,,,,]
12,ねこ,0x01,16,2,0,1,,1,0,,,,,[,11,,,,,]
13,うさぎ１,0x01,58,0,1,1,,0,0,,,,,[,12,,,,,]
14,うさぎ２,0x01,58,3,1,1,,0,0,,,,,[,13,,,,,]
15,うさぎ３,0x01,58,2,0,1,,1,0,,,,,[,14,,,,,]
