comment,,,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,priority,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,1.imageId,1.lockType,*pages*
null,,,,,,,,,,,,,,,,,,,,,
1,1-4,0x08,,,,,,,,in,,,,[,1,,,,,,]
2,1-5,0x08,,,,,,,,in,,,,[,2,,,,,,]
3,5-1,0x08,,,,,,,,in,,,,[,3,,,,,,]
4,5-2,0x08,,,,,,,,in,,,,[,4,,,,,,]
5,宝８２,0x02,,,,,,,,in,,,1,[,,88,54,5,,,]
6,end,0x08,,,,,,,,in,,,,[,6,,,,,,]
7,4-2,0x08,,,,,,,,in,,,,[,7,,,,,,]
8,6-1,0x08,,,,,,,,in,,,,[,8,,,,,,]
9,6-2,0x08,,,,,,,,in,,,,[,9,,,,,,]
