comment,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,partId,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,1.scriptId,*pages*
null,,,,,,,,,,,,,,,,,,
1,宿屋2Fへ,0x08,,,,,,,,in,,,,[,1,,,]
2,民家2Fへ,0x08,,,,,,,,in,,,,[,2,,,]
3,フィールドへ,0x08,,,,,,,,out,,,,[,3,,,]
4,宿屋,0x01,10,5,1,1,,0,0,,,,,[,4,,,]
5,武器防具,0x01,10,4,0,1,,0,0,,,,,[,5,,,]
6,道具,0x01,17,0,1,1,,0,0,,,,,[,6,,,]
7,医者,0x01,10,6,3,1,,0,0,,,,,[,7,,,]
8,案内,0x01,9,3,1,1,r1,1,0,,,,,[,8,,,]
9,セーブ,0x02,,,,,,,,in,,,,[,,15,,]
10,ねこ,0x01,16,2,0,1,r3,1,0,,,,,[,10,,,]
11,農夫,0x01,9,2,3,1,,4,1,,,,,[,11,,,]
12,主人,0x01,9,4,1,1,,0,0,,,,,[,12,,,]
13,ポートムード情報,0x01,9,5,0,1,r2,1,0,,,,,[,13,,,]
14,かえるの口,0x01,9,1,3,1,,0,0,,,,,[,14,,,]
