comment,,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,partId,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,1.trigger,*pages*
null,,,,,,,,,,,,,,,,,,,,
1,世界へ,0x08,,,,,,,,in,,,,[,1,,,,,]
2,2F,0x08,,,,,,,,in,,,,[,2,,,,,]
3,B1,0x08,,,,,,,,in,,,,[,3,,,,,]
4,道具,0x01,36,0,2,1,,1,0,,,,,[,4,,,,,]
5,医者,0x01,33,0,0,1,,0,0,,,,,[,5,,,,,]
6,案内,0x01,47,0,0,1,r1,1,0,,,,,[,6,,,,,]
7,武器防具,0x01,38,0,2,1,,1,0,,,,,[,7,,,,,]
8,ねこ外,0x01,16,2,0,1,,1,0,,,,,[,8,,,,,]
9,ねこ内,0x01,16,2,0,1,,1,0,,,,,[,9,,,,,]
10,兵士１,0x01,47,0,0,1,,0,0,,,,,[,10,,,,,]
11,王子,0x01,55,0,0,1,r2,1,0,,,,,[,11,,,,,]
12,学者,0x01,52,0,1,2,,0,0,,,,,[,12,,,,,]
13,学者,0x01,39,0,3,1,,1,0,,,,,[,13,,,,,]
14,旅人南,0x01,56,0,1,1,r1,1,0,,,,,[,14,,,,,]
