comment,,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,partId,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,1.trigger,*pages*
null,,,,,,,,,,,,,,,,,,,,
1,子供１,0x01,27,0,0,0,,0,,,,,,[,1,,,,,]
2,子供２,0x01,27,0,0,0,,0,,,,,,[,2,,,,,]
3,世界へ,0x08,,,,,,,,in,,,,[,3,,,,,]
4,宿屋,0x01,35,0,0,1,,0,0,,,,,[,4,,,,,]
5,武器防具,0x01,38,0,0,1,,0,0,,,,,[,5,,,,,]
6,道具,0x01,36,0,0,1,,0,0,,,,,[,6,,,,,]
7,医者,0x01,33,0,0,1,,0,0,,,,,[,7,,,,,]
8,案内,0x01,30,0,0,1,r1,1,0,,,,,[,8,,,,,]
9,セーブ,0x02,,,,,,,,in,,,,[,,15,,,,]
10,ねこ,0x01,16,2,0,1,r2,1,0,,,,,[,10,,,,,]
11,町人1,0x01,29,0,0,1,,0,0,,,,,[,11,,,,,]
12,町人2,0x01,33,0,0,1,,0,0,,,,,[,12,,,,,]
13,町人3,0x01,34,0,0,1,,0,0,,,,,[,13,,,,,]
14,町人4,0x01,32,0,0,1,r1,1,0,,,,,[,14,,,,,]
15,町人5,0x01,31,0,0,1,r2,1,0,,,,,[,15,,,,,]
16,町人6,0x01,28,0,0,1,r1,1,0,,,,,[,16,,,,,]
17,B1へ,0x08,,,,,,,,in,,,,[,17,,,,,]
18,扉１,0x104,,,,,,,,in,,1,,[,18,,7,,,]
19,扉２,0x104,,,,,,,,in,,1,,[,19,,7,,,]
20,扉３,0x104,,,,,,,,in,,1,,[,20,,7,,,]
21,預り所,0x01,15,0,2,1,,0,0,,,,,[,9,,,,,]
