comment,,,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,partId,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,1.trigger,*pages*,
null,,,,,,,,,,,,,,,,,,,,,
1,世界へ,0x08,,,,,,,,in,,,,[,1,,,,,],
2,船出口,0x08,,,,,,,,in,,,,[,2,,,,,],
3,宝３６,0x02,,,,,,,,in,,,1,[,,88,4,3,,],
4,宿屋,0x01,35,0,0,1,,0,0,,,,,[,4,,,,,],
5,武器,0x01,38,0,0,1,,0,0,,,,,[,5,,,,,],
6,道具,0x01,36,0,0,1,,0,0,,,,,[,6,,,,,],
7,医者,0x01,33,0,0,1,,0,0,,,,,[,7,,,,,],
8,案内,0x01,30,0,0,1,,1,0,,,,,[,8,,,,,],
9,セーブ,0x02,,,,,,,,in,,,,[,,15,,,,],
10,ねこ,0x01,16,2,0,1,r1,1,0,,,,,[,10,,,,,],
11,防具,0x01,37,0,1,1,,0,0,,,,,[,11,,,,,],
12,町人1,0x01,31,0,0,1,r3,1,0,,,,,[,12,,,27,,],
13,町人2,0x01,32,0,0,1,r3,1,0,,,,,[,13,,,,,],
14,町人3,0x01,33,0,1,1,,0,0,,,,,[,14,,,,,],
15,町人4,0x01,29,0,0,1,r4,1,0,,,,,[,15,,,,,],
16,町人5,0x01,30,0,0,1,r4,1,0,,,,,[,16,,,,,],
17,2F-1,0x08,,,,,,,,in,,,,[,17,,,,,],
18,2F-2,0x08,,,,,,,,in,,,,[,17,,,,,],
19,船着き場の人,0x01,50,0,0,1,r2,1,0,,,,,[,18,,,,,],
20,預り所便利,0x01,39,0,0,1,r5,1,0,,,,,[,19,,,,,],
21,預り所,0x01,15,0,0,1,,0,0,,,,,[,9,,,,,],
22,扉１,0x104,,,,,,,,in,,1,,[,20,,7,,,],
23,扉２,0x104,,,,,,,,in,,1,,[,21,,7,,,],
24,扉３,0x104,,,,,,,,in,,1,,[,22,,7,,,],
25,扉４,0x104,,,,,,,,in,,1,,[,23,,7,,,],
26,マスター,0x01,31,0,2,1,,1,0,,,,,[,24,,,28,,],
