comment,,,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,partId,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,1.trigger,*pages*,
null,,,,,,,,,,,,,,,,,,,,,
1,1F-1,0x08,,,,,,,,in,,,,[,1,,,,,],
2,1F-2,0x08,,,,,,,,in,,,,[,1,,,,,],
3,宝３７,0x02,,,,,,,,in,,,1,[,,88,4,2,,],
4,宝３８,0x02,,,,,,,,in,,,1,[,,88,4,3,,],
5,仲間の説明,0x01,30,0,0,1,,0,0,,,,,[,4,,,10,,],
6,魔法使い,0x01,23,0,1,1,,0,0,,,,,[,5,,,11,,],
7,戦士,0x01,21,0,0,1,r1,1,0,,,,,[,6,,,12,,],
8,僧侶,0x01,22,0,2,1,,0,0,,,,,[,7,,,13,,],
9,旅人１,0x01,39,0,2,1,,0,0,,,,,[,8,,,,,],
10,旅人２,0x01,39,0,1,1,,0,0,,,,,[,9,,,,,],
