comment,,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,partId,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,1.trigger,*pages*
null,,,,,,,,,,,,,,,,,,,,
1,世界へ,0x08,,,,,,,,out,,,,[,1,,,,,]
2,城へ,0x08,,,,,,,,in,,,,[,2,,,,,]
3,城門,0x104,,,,,,,,in,3,1,1,[,3,,,,,]
4,宿屋,0x01,35,0,1,1,,0,0,,,,,[,4,,,,,]
5,武器防具,0x01,38,0,0,1,,1,0,,,,,[,5,,,,,]
6,道具,0x01,36,0,0,1,,1,0,,,,,[,6,,,,,]
7,医者,0x01,33,0,0,1,,0,0,,,,,[,7,,,,,]
8,案内,0x01,29,0,0,1,r1,1,0,,,,,[,8,,,,,]
9,セーブ,0x02,,,,,,,,in,,,,[,,15,,,,]
10,ねこ,0x01,16,2,0,1,r2,1,0,,,,,[,10,,,,,]
11,町人1,0x01,34,0,0,1,r1,0,0,,,,,[,11,,,,,]
12,町人2,0x01,56,0,0,1,r1,1,0,,,,,[,12,,,,,]
13,町人3,0x01,27,0,0,1,r2,0,0,,,,,[,13,,,,,]
14,町人4,0x01,32,0,0,1,r2,0,0,,,,,[,14,,,,,]
15,扉１,0x104,,,,,,,,in,,1,,[,15,,7,,,]
16,扉２,0x104,,,,,,,,in,,1,,[,16,,7,,,]
17,扉３,0x104,,,,,,,,in,,1,,[,17,,7,,,]
18,預り所,0x01,15,0,1,1,,0,0,,,,,[,9,,,,,]
19,町人５,0x01,52,0,0,1,r2,1,0,,,,,[,18,,,,,]
20,町人６,0x01,31,0,0,1,r2,1,0,,,,,[,19,,,,,]
21,兵士,0x01,47,0,0,1,r2,0,0,,,,,[,20,,,,,]
