comment,,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,partId,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,1.trigger,*pages*
null,,,,,,,,,,,,,,,,,,,,
1,城下町へ,0x08,,,,,,,,in,,,,[,1,,,,,]
2,2Fへ,0x08,,,,,,,,in,,,,[,2,,,,,]
3,門番,0x01,47,0,0,1,,0,0,,,,,[,3,,,,,]
4,兵士１,0x01,47,0,0,1,r1,1,0,,,,,[,4,,,,,]
5,兵士２,0x01,39,0,0,1,r2,1,0,,,,,[,5,,,,,]
6,住人１,0x01,33,0,1,1,,0,0,,,,,[,6,,,,,]
7,住人２,0x01,34,0,1,1,,0,0,,,,,[,7,,,,,]
8,兵士３,0x01,47,0,0,1,,0,0,,,,,[,8,,,,,]
9,食堂１,0x01,51,0,0,1,,0,0,,,,,[,9,,,,,]
10,王女,0x01,54,0,0,1,r3,1,0,,,,,[,10,,,,,]
11,食堂３,0x01,51,0,0,1,r3,1,0,,,,,[,11,,,,,]
12,通扉２,0x104,,,,,,,,in,,1,1,[,12,,1,,,]
13,通扉３,0x104,,,,,,,,in,,1,1,[,13,,1,,,]
14,通扉４,0x104,,,,,,,,in,,1,,[,14,,1,,,]
15,通扉５,0x104,,,,,,,,in,,1,,[,15,,1,,,]
16,通扉６,0x104,,,,,,,,in,,1,,[,16,,1,,,]
