comment,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,priority,partId,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,1.scriptId,*pages*
null,,,,,,,,,,,,,,,,,,,
1,洞窟出口,0x08,,,,,,,,in,,,,,[,1,,,]
2,洞窟入口,0x08,,,,,,,,in,,,,,[,2,,,]
3,南入口,0x08,,,,,,,,in,,,,,[,3,,,]
4,東入口,0x08,,,,,,,,in,,,,,[,4,,,]
5,西入口,0x08,,,,,,,,in,,,,,[,5,,,]
6,石ブロック1,0,,,,,,,,in,,52,0,1,[,6,,,]
7,石ブロック2,0,,,,,,,,in,,52,0,1,[,7,,,]
8,落下,0x08,,,,,,,,in,1,,,,[,8,,,]
9,作業員,0x01,25,0,2,0,,0,0,,,,,,[,9,,,]
10,作業員ブロック１後,0x01,25,0,3,0,,0,0,,,,,,[,10,,,]
11,飛びたいけど,0x01,17,0,0,2,,0,0,,,,,,[,11,,,]
12,作業員反対側,0x01,25,0,1,0,,0,0,,,,,,[,12,,,]
13,落下,0x08,,,,,,,,in,1,,,,[,14,,,]
14,石ブロック3,0,,,,,,,,in,,52,0,1,[,15,,,]
15,作業員ほぼ完,0x01,25,0,3,0,,0,0,,,,,,[,16,,,]
16,作業員完了,0x01,25,0,2,0,,0,0,,,,,,[,17,,,]
17,作業員反対側ほぼ完,0x01,25,0,0,0,,0,0,,,,,,[,18,,,]
18,作業員反対側完了,0x01,25,0,1,0,,0,0,,,,,,[,19,,,]
