comment,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,priority,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,*pages*
null,,,,,,,,,,,,,,,,,,,
1,2Fへの階段,0x08,,,,,,,,in,,,,[,1,,,,]
2,世界へ,0x08,,,,,,,,in,,,,[,2,,,,]
3,セーブ,0x02,,,,,,,,in,,,,[,,15,,,]
4,門番１,0x01,15,0,1,2,,0,0,,,,,[,4,,,,]
5,門番２,0x01,15,0,2,2,,0,0,,,,,[,5,,,,]
6,B1への階段,0x08,,,,,,,,in,,,,[,6,,,,]
7,宿屋,0x01,10,5,1,1,,0,0,,,,,[,7,,,,]
8,武器,0x01,17,0,0,1,,0,0,,,,,[,8,,,,]
9,防具,0x01,10,4,0,1,,0,0,,,,,[,9,,,,]
10,道具,0x01,26,0,3,1,,0,0,,,,,[,10,,,,]
11,医者,0x01,10,6,0,1,,0,0,,,,,[,11,,,,]
12,兵士,0x01,15,0,1,1,,0,0,,,,,[,12,,,,]
13,子供男,0x01,10,0,0,1,r2,1,0,,,,,[,13,,,,]
14,子供女,0x01,10,1,0,1,r3,1,0,,,,,[,14,,,,]
15,宿泊客,0x01,10,3,3,1,,0,0,,,,,[,15,,,,]
16,冒険者,0x01,10,2,3,1,r1,1,0,,,,,[,16,,,,]
17,扉１,0x104,,,,,,,,in,,1,,[,17,,1,,]
