comment,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,*pages*
null,,,,,,,,,,,,,,,,,,
1,囚人１,0x01,4,0,0,1,,0,0,,,,[,1,,,,]
2,囚人２,0x01,4,0,0,1,r1,1,0,,,,[,2,,,,]
3,食事係,0x01,10,3,0,1,,1,0,,,,[,3,,,,]
4,宝物庫,0x01,15,0,0,2,,0,0,,,,[,4,,,,]
5,看守,0x01,15,0,0,2,,0,0,,,,[,5,,,,]
6,1Fへ,0x08,,,,,,,,in,,,[,6,,,,]
7,宝１,0x02,,,,,,,,in,,1,[,,88,4,7,]
8,宝２,0x02,,,,,,,,in,,1,[,,88,4,8,]
9,宝物庫後,0x01,15,0,2,2,,0,0,,,,[,9,,,,]
10,牢獄,0x105,,,,,,,,in,1,1,[,10,,6,,]
11,牢獄,0x105,,,,,,,,in,1,1,[,11,,6,,]
12,牢獄,0x105,,,,,,,,in,1,1,[,12,,6,,]
