comment,,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,partId,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,1.trigger,*pages*
null,,,,,,,,,,,,,,,,,,,,
1,魔女の島の船,0x08,18,0,3,0,,0,,,,,,[,1,,,,,]
2,大陸へ船,0x08,18,0,1,0,,0,,,,,,[,2,,,,,]
3,世界へ,0x08,,,,,,,,in,,,,[,3,,,,,]
4,宿屋,0x01,10,5,2,1,,0,0,,,,,[,4,,,,,]
5,武器,0x01,17,0,2,1,,0,0,,,,,[,5,,,,,]
6,道具,0x01,17,0,0,1,,0,0,,,,,[,6,,,,,]
7,医者,0x01,10,6,3,1,,0,0,,,,,[,7,,,,,]
8,案内,0x01,9,3,2,1,r1,1,0,,,,,[,8,,,,,]
9,セーブ,0x02,,,,,,,,in,,,,[,,15,,,,]
10,ねこ,0x01,16,2,0,1,r2,1,0,,,,,[,10,,,,,]
11,防具,0x01,10,4,1,1,,0,0,,,,,[,11,,,,,]
12,町人1,0x01,9,2,1,2,,0,0,,,,,[,12,,,,,]
13,町人2,0x01,9,3,2,2,,0,0,,,,,[,13,,,,,]
14,船員1,0x01,9,4,0,1,,0,0,,,,,[,14,,,,,]
15,船員2,0x01,9,4,2,1,,0,0,,,,,[,15,,,28,0x401,]
16,こども,0x01,9,0,0,1,,0,0,,,,,[,16,,,,,]
17,民家の人1,0x01,9,5,0,1,r4,1,0,,,,,[,17,,,,,]
18,冒険者,0x01,15,0,0,1,r3,1,0,,,,,[,18,,,,,]
19,町人3,0x01,9,2,0,1,r1,1,0,,,,,[,19,,,,,]
20,宿屋2Fへ,0x08,,,,,,,,in,,,,[,20,,,,,]
21,民家2Fへ,0x08,,,,,,,,in,,,,[,21,,,,,]
22,大きな家2Fへ,0x08,,,,,,,,in,,,,[,22,,,,,]
23,扉１,0x104,,,,,,,,in,,1,,[,23,,5,,,]
24,扉２,0x104,,,,,,,,in,,1,,[,24,,5,,,]
25,扉３,0x104,,,,,,,,in,,1,,[,25,,5,,,]
26,船員1移動後,0x01,9,4,2,1,,0,0,,,,,[,26,,,,,]
27,預り所,0x01,15,0,0,1,,0,0,,,,,[,9,,,,,]
