comment,,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,priority,partId,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,*pages*
null,,,,,,,,,,,,,,,,,,,,
1,入口,0x08,,,,,,,,in,,,,,[,1,,,,]
2,出口,0x08,,,,,,,,in,,,,,[,2,,,,]
3,J1,0x08,,,,,,,,in,1,,,,[,3,,,,]
4,J2,0x08,,,,,,,,in,1,,,,[,4,,,,]
5,J3,0x08,,,,,,,,in,1,,,,[,5,,,,]
6,J4,0x08,,,,,,,,in,1,,,,[,6,,,,]
7,兵士,0x01,15,0,0,1,,0,0,in,,,,,[,7,,,,]
8,宝１４,0x02,,,,,,,,in,,,,,[,,88,54,8,]
9,宝１５,0x02,,,,,,,,in,,,,,[,,88,54,9,]
10,宝１６,0x02,,,,,,,,in,,,,,[,,88,54,10,]
11,J5,0x08,,,,,,,,in,1,,,,[,11,,,,]
