comment,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,partOrder,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,1.partId,2.scriptId,*pages*
null,,,,,,,,,,,,,,,,,,,
1,2Fへの階段,0x08,,,,,,,,in,,[,1,,,,,,]
2,欠番,0,,,,,,,,,,[,,,,,,,]
3,お手伝い,0x01,10,5,0,1,,0,,,,[,2,,,3,,,]
4,自室扉下(削除),0,,,,,,,,,,[,,,,,,,]
5,自室扉上,0,,,,,,,,,,[,,,,,,,]
6,自室扉,0x104,,,,,,,,in,1,[,4,,1,,,,]
7,王室扉,0x104,,,,,,,,in,1,[,5,,2,,,,]
8,宝７９,0x02,,,,,,,,in,1,[,,88,4,7,4,6,]
9,予約,0,,,,,,,,,,[,,,,,,,]
10,なにもなし,0,10,5,0,1,,0,,,,[,,,,,,,]
