comment,,,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,priority,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,1.imageId,1.lockType,*pages*
null,,,,,,,,,,,,,,,,,,,,,
1,自動,0,,,,,,,,in,,,,[,1,,,,,,]
2,町へ,0,,,,,,,,in,,,,[,,,,,,,]
3,人間王子,0,5,0,1,0,,0,0,,,,,[,2,,,,,,]
4,門番１,0,0,0,0,0,,0,0,,,,,[,,,,,,,]
5,門番２,0,0,0,0,0,,0,0,,,,,[,,,,,,,]
6,ふさぐ,0,,,,,,,,in,0,,,[,,,,,,,]
7,城門,0,,,,,,,,in,,1,,[,,,,,,,]
8,宝３３,0,,,,,,,,in,,,1,[,,,,,,,]
9,宝３４,0,,,,,,,,in,,,1,[,,,,,,,]
10,宝３５,0,,,,,,,,in,,,1,[,,,,,,,]
11,欠番,0,,,,,,,,,,,,[,,,,,,,]
12,うさぎ王子,0,0,0,0,0,,0,0,,,,,[,,,,,,,]
13,見回り兵士,0,0,0,0,0,,0,0,,,,,[,,,,,,,]
14,おじいさん,0,0,0,0,0,,0,0,,,,,[,,,,,,,]
15,番人,0,0,0,0,0,,0,0,,,,,[,,,,,,,]
16,ごはん,0,0,0,0,0,,0,0,,,,,[,,,,,,,]
17,かくれんぼ,0,0,0,0,0,,0,0,,,,,[,,,,,,,]
18,外は危険,0,0,0,0,0,,0,0,,,,,[,,,,,,,]
19,大きな音,0,0,0,0,0,,0,0,,,,,[,,,,,,,]
20,王室扉,0,,,,,,,,in,,1,,[,,,,,,,]
