comment,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,partId,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,1.scriptId,*pages*
null,,,,,,,,,,,,,,,,,,
1,シトラス城へ,0x08,,,,,,,,in,,,,[,1,,,]
2,世界へ,0x08,,,,,,,,in,,,,[,2,,,]
3,城門,0x104,,,,,,,,in,3,1,1,[,3,,,]
4,宿屋,0x01,10,5,0,1,,0,0,,,,,[,4,,,]
5,武器防具,0x01,10,4,0,1,,0,0,,,,,[,5,,,]
6,道具,0x01,17,0,0,1,,0,0,,,,,[,6,,,]
7,医者,0x01,10,6,0,1,,0,0,,,,,[,7,,,]
8,案内,0x01,9,1,0,1,r1,1,0,,,,,[,8,,,]
9,セーブ,0x02,,,,,,,,in,,,,[,,15,,]
10,ねこ,0x01,16,2,0,1,r2,1,0,,,,,[,10,,,]
11,ばたん説明,0x01,9,4,0,1,r3,1,0,,,,,[,11,,,]
12,石板説明,0x01,9,3,2,1,,0,0,,,,,[,12,,,]
13,診療所案内,0x01,9,7,0,1,,0,0,,,,,[,13,,,]
