comment,,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,partId,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,1.trigger,*pages*
null,,,,,,,,,,,,,,,,,,,,
1,世界へ,0x08,,,,,,,,out,,,,[,1,,,,,]
2,占い師,0x01,34,0,0,1,,0,0,,,,,[,2,,,,,]
3,村人１,0x01,32,0,1,1,r2,1,0,,,,,[,3,,,,,]
4,宿屋,0x01,35,0,2,1,,1,0,,,,,[,4,,,,,]
5,村人２,0x01,33,0,3,1,r2,1,0,,,,,[,5,,,,,]
6,道具,0x01,36,0,1,1,,0,0,,,,,[,6,,,,,]
7,村人３,0x01,31,0,0,1,r3,1,0,,,,,[,7,,,,,]
8,案内,0x01,30,0,3,1,r2,1,0,,,,,[,8,,,,,]
9,セーブ,0x02,,,,,,,,in,,,,[,,15,,,,]
10,ねこ,0x01,16,2,0,1,r1,1,0,,,,,[,9,,,,,]
