comment,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,moveRegionKey,moveType,moveRouteId,inout,partId,*pages*,0.scriptId,1.scriptId,*pages*
null,,,,,,,,,,,,,,
1,姫の城へ,0x08,,,,,,,in,,[,1,,]
2,ラプリエール城下町,0x08,,,,,,,in,,[,11,,]
3,ラプリエール東の家,0x08,,,,,,,in,,[,12,,]
4,アルビエ,0x08,,,,,,,in,,[,13,,]
5,いやしのじじい,0x08,,,,,,,in,,[,14,,]
6,北の洞窟南口,0x08,,,,,,,in,,[,15,,]
7,北の洞窟北口,0x08,,,,,,,in,,[,16,,]
8,ポートムード,0x08,,,,,,,in,,[,17,,]
9,イルデリ港,0x08,,,,,,,in,,[,18,,]
10,魔女の塔,0x08,,,,,,,in,,[,19,,]
11,ピクサル山道西,0x08,,,,,,,in,,[,20,,]
12,ピクサル山道東,0x08,,,,,,,in,,[,21,,]
13,ピクサル山道南,0x08,,,,,,,in,,[,22,,]
14,ブラス城,0x08,,,,,,,in,,[,23,,]
15,モングロ山,0x08,,,,,,,in,,[,24,,]
16,東の森,0x02,,,,,,,in,,[,25,26,]
17,北の島へ船,0,0,0,0,,0,,,,[,3,,]
18,大陸への船,0,0,0,0,,0,,,,[,3,,]
19,停泊所,0x08,,,,,,,in,,[,27,,]
20,イリシア,0x08,,,,,,,in,,[,29,,]
21,ペドロウム,0x08,,,,,,,in,,[,30,,]
22,南の遺跡,0x08,,,,,,,in,,[,31,,]
23,古の神殿,0x08,,,,,,,in,,[,32,,]
24,シュタージ,0x08,,,,,,,in,,[,33,,]
25,試練の洞窟,0x08,,,,,,,in,,[,34,,]
26,光の塔,0x08,,,,,,,in,,[,35,,]
27,ナクリアル,0x08,,,,,,,in,,[,36,,]
28,闇の洞窟,0x08,,,,,,,in,,[,37,,]
29,イトランド,0x08,,,,,,,in,,[,38,,]
30,レゼ,0x08,,,,,,,in,,[,39,,]
31,通行路北,0x08,,,,,,,in,,[,40,,]
32,通行路南,0x08,,,,,,,in,,[,41,,]
33,ドレイス,0x08,,,,,,,in,,[,42,,]
34,レイドス,0x08,,,,,,,in,,[,43,,]
35,たまもりのはな,0x02,,,,,,,in,,[,44,,]
36,山を砕く,0x200,,,,,,,in,,[,45,,]
37,砕いた後,0,,,,,,,in,41,[,5,,]
38,海下流れ,0,0,0,0,,0,,,,[,45,,]
39,海左流れ,0,0,0,0,,0,,,,[,45,,]
40,ジャンプポイント,0x08,,,,,,,in,,[,46,,]
41,うさぎ山道,0x08,,,,,,,in,,[,47,,]
