comment,,,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,priority,partId,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,1.trigger,*pages*
null,,,,,,,,,,,,,,,,,,,,,
1,4,0x08,,,,,,,,in,,,,,[,1,,,,,]
2,台座,0x02,,,,,,,,in,,,,1,[,7,,57,2,0x802,]
3,灯ろう１,0,,,,,,,,in,,,1,1,[,3,,56,,,]
4,灯ろう２,0,,,,,,,,in,,,1,1,[,3,,56,,,]
5,灯ろう３,0,,,,,,,,in,,,1,1,[,3,,56,,,]
6,灯ろう４,0,,,,,,,,in,,,1,1,[,3,,56,,,]
7,宝５７,0x02,,,,,,,,in,,,,1,[,,88,54,4,,]
8,落下,0x08,,,,,,,,in,,,,,[,5,,,,,]
9,人,0x01,47,0,0,1,r1,1,0,,,,,,[,6,,,,,]
