comment,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,partId,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,*pages*
null,,,,,,,,,,,,,,,,,,,
1,出口,0x08,,,,,,,,out,,,,[,1,,,,]
2,2-1,0x08,,,,,,,,in,,,,[,2,,,,]
3,2-2,0x08,,,,,,,,in,,,,[,2,,,,]
4,2-3,0x08,,,,,,,,in,,,,[,2,,,,]
5,2-4,0x08,,,,,,,,in,,,,[,2,,,,]
6,2-5,0x08,,,,,,,,in,,,,[,2,,,,]
7,宝１,0x02,,,,,,,,in,,,1,[,,88,54,3,]
8,宝２,0x02,,,,,,,,in,,,1,[,,88,54,4,]
9,人,0x01,15,0,0,1,,1,0,,,,,[,5,,,,]
