comment,,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,priority,partId,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,*pages*
null,,,,,,,,,,,,,,,,,,,,
1,欠番,0,,,,,,,,,,,,,[,,,,,]
2,1-1,0x08,,,,,,,,in,,,,,[,2,,,,]
3,1-2,0x08,,,,,,,,in,,,,,[,2,,,,]
4,1-3,0x08,,,,,,,,in,,,,,[,2,,,,]
5,1-4,0x08,,,,,,,,in,,,,,[,2,,,,]
6,1-5,0x08,,,,,,,,in,,,,,[,2,,,,]
7,3-1,0x08,,,,,,,,in,,,,,[,3,,,,]
8,3-2,0x08,,,,,,,,in,,,,,[,3,,,,]
9,3-3,0x08,,,,,,,,in,,,,,[,3,,,,]
10,3-4,0x08,,,,,,,,in,,,,,[,3,,,,]
11,3-5,0x08,,,,,,,,in,,,,,[,3,,,,]
12,宝３,0x02,,,,,,,,in,,,,1,[,,88,54,4,]
13,宝４,0x02,,,,,,,,in,,,,1,[,,88,54,5,]
14,落下,0x08,,,,,,,,in,0,,,,[,6,,,,]
