comment,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,priority,partId,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,1.scriptId,*pages*
null,,,,,,,,,,,,,,,,,,,
1,魔法使い,0x01,19,0,3,1,,0,0,,,,,,[,1,,,]
2,3-1,0x08,,,,,,,,in,,,,,[,2,,,]
3,3-2,0x08,,,,,,,,in,,,,,[,2,,,]
4,3-3,0x08,,,,,,,,in,,,,,[,2,,,]
5,3-4,0x08,,,,,,,,in,,,,,[,2,,,]
6,扉１,0x104,,,,,,,,in,,51,1,1,[,3,,4,]
7,扉２,0x104,,,,,,,,in,,51,1,1,[,5,,6,]
8,ゴーレム,0x01,24,0,0,0,,0,0,,,,,,[,9,,,]
9,落下,0x08,,,,,,,,in,0,,,,[,10,,,]
