comment,,決定タイミング,オートターゲット,不可行動,無意味行動,指定数,攻撃柔軟性,回復柔軟性,狙い,回復,,,,
comment,,0:ターン開始,0:なし,0:する,0:する,複数の内,効率的の場合,,0:先頭から,0:先頭から,,,,
comment,,1:行動前,1:あり,1:気づいたらしない,1:しない,指定数以上,選択される値を,,1:後ろから,1:後ろから,,,,
comment,,,,2:しない,2:耐性を考慮,効果があれば,fugureIdで指定,,2:HP高,2:HP高,,,,
comment,,,,,,実行,0なら1以上,,3:HP低,3:HP低,,,,
comment,,,,,,,,,4:ランダム,4:ランダム,,,,
comment,,,,,,,,,5:効率的,5:効率的,,,,
id,,timing,autoTarget,inaction,meaningless,more,atkFlexible,rcvFlexible,atkAim,rcvAim,,,,
null,,,,,,,,,,,,,,
1,ばか,0,0,0,0,0,0,0,0,4,,,,
2,普通,0,1,1,1,0,0,0,0,4,,,,
3,かしこい,0,1,2,1,0,0,0,0,4,,,,
4,天才,1,1,2,2,0,0,0,0,4,,,,
5,標的ランダム,0,1,0,0,0,0,0,4,4,,,,
6,回復系超慎重,1,1,1,1,0,0,46,0,5,,,,
7,回復系慎重,1,1,1,1,0,0,48,0,5,,,,
8,回復系大胆,1,1,1,1,0,0,49,0,5,,,,
9,瞬発バカ,1,1,0,0,0,0,0,0,4,,,,
10,味方,0,1,1,1,0,0,0,5,5,,,,
11,器用貧乏,1,1,1,1,0,0,0,0,4,,,,
12,HP高集中,0,0,1,1,0,0,0,2,4,,,,
13,HP低集中,0,0,1,1,0,0,0,3,4,,,,
