comment,id
,
,
\s[1]は　いどうちゅうの\nぎのうを　おぼえていない。,1
\s[1]は　どうぐを　もっていない。,2
\s[1]は　\s[2]を　つかった！,3
しかし　なにもおこらなかった！,4
\s[1]は　じゅもんを　つかえない！,5
ＭＰがたりない！,6
\s[1]は　\s[2]を　となえた！,7
\s[1]は　\s[2]を　なげた！,8
かいしんの　いちげき！！,9
つうこんの　いちげき！！,10
\s[3]の　ケガがよくなった！,11
\s[3]の　ＭＰが　\s[9]　かいふくした！,12
\s[3]は　すっきりした！,13
\s[3]の　\s[8]が　\s[9]あがった！,14
\s[3]の　\s[8]が　\s[9]さがった！,15
\s[3]の　\s[8]を　\s[9]さげた！,16
\s[3]は　たちあがった！,17
\s[3]は　たおれていない！,18
しかし　\s[3]は　たちあがらなかった！,19
\s[3]の　\s[8]は\nあがりきっている！,20
\s[3]の　\s[8]は\nさがりきっている！,21
\s[3]は　すでにおなかをこわしている！,22
\s[3]は　すでにねむっている！,23
\s[1]は　レベルがあがった！,24
\s[8]が　\s[9]ポイント　ふえた！,25
\s[8]が　\s[9]ポイント　あがった！,26
\s[2]の　\s[8]を　おぼえた！,27
\s[2]が　できるようになった！,28
\s[1]は　いなくなった！,29
\s[1]は,30
\s[1]が　あらわれた！,31
\s[1]を　やっつけた！,32
それぞれ,33
\s[9]の　けいけんをかくとく,34
\s[9]\gnを　てにいれた,35
\s[1]の　こうげき！,36
\s[3]は　\s[9]のダメージを　うけた！,37
\s[3]に　\s[9]のダメージ！,38
\s[3]は　たおれてしまった！,39
\s[3]を　たおした！,40
\s[1]は　みをまもっている！,41
ミス！　\s[3]は　ダメージを　うけない！,42
ミス！　\s[3]に　ダメージを\nあたえられない！,43
\s[3]は　こうげきを　かわした！,44
\s[3]は　こうげきを　かわした！,45
\s[3]には　きかなかった！,46
\s[3]には　きかなかった！,47
\s[3]は　じゅもんを　かわした！,48
\s[3]は　じゅもんを　かわした！,49
\s[3]には　きかなかった！,50
\s[3]には　きかなかった！,51
\s[3]に　いきは　とどかなかった！,52
\s[3]に　いきは　とどかなかった！,53
\s[3]は　おなかが　いたくなった！,54
\s[1]は　ぜんめつした！,55
\s[3]は　まだ\nこちらにきづいていない！,56
\s[3]は　おどろきとまどっている！,57
\s[1]は　とつぜん　おそいかかってきた！,58
\s[1]は　\s[3]が\nみがまえるまえに　おそいかかってきた！,59
\s[1]は　にげだした！,60
しかし　まわりこまれてしまった！,61
\s[3]は　へいきだった！,62
\s[3]は　すばやくよけた！,63
\s[1]は　すべってしまった！,64
\s[1]は　ぼーっとしている！,65
\s[1]は　ようすをみている！,66
\s[3]は　ねむってしまった！,67
\s[3]を　ねむらせた！,68
\s[3]は　めをさました！,69
\s[3]は　めをさまさなかった！,70
\s[1]は　ねむっている！,71
\s[1]は　なかまをよんだ！,72
しかし　たすけはこなかった！,73
\s[3]が　たすけにきた！,74
\s[3]の　\s[8]を　\s[9]うばわれた！,75
\s[3]の　\s[8]を　\s[9]うばった！,76
\s[1]は　ちょうおんぱを　だした！,77
\s[3]の　\s[8]が　もとにもどった！,78
\s[3]には　こうかがなかった！,79
\s[1]は　うごけない！,80
