comment,,繰り返すか,移動できない場合とばすか,移動頻度,動作リスト,,,,,,,,,,,,,,,,,
id,,repeat,skippable,moveFrequency,*list*,0.code,0.parameters,1.code,1.parameters,2.code,2.parameters,3.code,3.parameters,4.code,4.parameters,5.code,5.parameters,6.code,6.parameters,7.code,7.parameters,*list*
null,,,,,,,,,,,,,,,,,,,,,,
1,ぐるぐる,TRUE,false,0,[,1,*[3]*,2,*[3]*,3,*[3]*,4,*[3]*,,,,,,,,,]
2,１回転,false,false,0,[,1,*[1]*,2,*[1]*,3,*[1]*,4,*[1]*,,,,,,,,,]
3,垂直上昇,false,false,1,[,42,,43,,31,*[8]*,32,*[1000]*,45,,47,,17,*[1;5]*,41,,]
4,垂直下降,false,false,1,[,31,*[7]*,19,*[2;0]*,31,*[0]*,44,,32,*[0]*,46,,48,,,,]
5,左回転＋前進,false,false,1,[,26,,5,*[1]*,27,,,,,,,,,,,,]
6,すり抜け＋前進,false,false,1,[,45,,5,*[1]*,,,,,,,,,,,,,]
7,落下,false,false,1,[,43,,31,*[7]*,45,,42,,17,*[1;15]*,41,,,,,,]
8,２キャラ分ジャンプ,false,true,0,[,20,*[0;0;64;26;0]*,,,,,,,,,,,,,,,]
9,前進,false,false,0,[,5,*[2]*,,,,,,,,,,,,,,,]
10,すり抜けON,false,false,0,[,45,,,,,,,,,,,,,,,,]
11,左を向く,false,false,1,[,21,,,,,,,,,,,,,,,,]
12,上を向く,false,false,1,[,22,,,,,,,,,,,,,,,,]
13,右を向く,false,false,1,[,23,,,,,,,,,,,,,,,,]
14,下を向く,false,false,1,[,24,,,,,,,,,,,,,,,,]
15,垂直上昇瞬時,false,false,1,[,43,,45,,32,*[1000]*,47,,17,*[0;-1;1]*,,,,,,,]
16,左ジャンプ大,false,true,0,[,63,*[32]*,21,,20,*[-8;-8;16;26;0]*,,,,,,,,,,,]
17,垂直ジャンプ大,false,true,0,[,63,*[32]*,22,,20,*[0;-8;16;26;0]*,,,,,,,,,,,]
18,右ジャンプ大,false,true,0,[,63,*[32]*,23,,20,*[8;-8;16;26;0]*,,,,,,,,,,,]
19,ジャンプ後落ちる,false,true,0,[,63,*[33]*,24,,20,*[14;15;0;26;0;1]*,,,,,,,,,,,]
20,左ジャンプ小,false,true,0,[,63,*[32]*,21,,20,*[-4;-4;4;26;0]*,,,,,,,,,,,]
21,垂直ジャンプ小,false,true,0,[,63,*[32]*,22,,20,*[0;-4;4;26;0]*,,,,,,,,,,,]
22,右ジャンプ小,false,true,0,[,63,*[32]*,23,,20,*[4;-4;4;26;0]*,,,,,,,,,,,]
23,下ジャンプ,false,true,0,[,63,*[33]*,24,,20,*[0;0;16;0;0]*,20,*[14;15;0;26;0;1]*,,,,,,,,,]
24,右回転＋前進,false,false,1,[,25,,5,*[1]*,27,,,,,,,,,,,,]
25,倒れ画像に変更,false,false,1,[,52,*[0;12;0]*,,,,,,,,,,,,,,,]
26,通常ジャンプ,false,true,0,[,20,*[0;0;16;0;0]*,,,,,,,,,,,,,,,]
27,プレイヤーに向く,false,false,1,[,28,,,,,,,,,,,,,,,,]
