comment,名前,使用者影響度,対象者強度,影響度計算タイプ,適用方法,適用値,最終補正
comment,値の範囲は整数,割合Id,,0:減算,0:加算,,
comment,確率は0-1,0の場合影響なし,,1:平均,1:乗算,,
comment,,,,2:加算,2:影響度,,
id,,subject,target,calcType,applyType,applyValue,rateId
null,,,,,,,
1,会心_運(整),5,5,0,2,0,0
2,命中_運(実),5,5,0,2,0,15
3,回避_運(実),5,5,0,2,0,15
4,打撃_運(整),5,5,0,2,0,0
5,数値_運(整),0,0,0,0,0,0
6,状態付与_運(実),4,4,0,2,0,15
7,状態回復_運(実),4,5,1,2,0,15
8,能力減少_運(実),4,4,0,2,0,15
9,能力増加_運(実),0,0,0,0,0,0
10,状態回復自力_運(実),0,3,2,1,100,15
11,攻撃呪文基本_魔(整),3,3,0,1,100,15
12,回復呪文基本_魔(整),3,4,2,1,100,15
13,状態変化攻撃_魔(整),3,3,0,1,100,15
14,能力変化減少基本_魔(整),4,4,0,1,100,15
15,能力変化増加基本_魔(整),5,5,2,1,100,15
16,回復魔道具基本_魔(整),4,3,1,1,100,15
17,回復道具_運(整),5,5,1,2,100,15
18,光呪文基本_魔(整),27,63,0,1,120,15
19,状態付与魔_運(実),5,5,0,2,0,15
20,状態付与魔_魔(実),5,5,0,2,0,15
21,攻撃魔道具_魔(整),0,4,0,1,100,15
