comment,,ランダムありか,,,,成長情報,20まで1間隔,ばらつき,重み,,,,,,,,,,,,,,,,,,,20からは10間隔,,,,,,,,,,,
id,,random,lower,upper,baseValue,*rates*,0.interval,0.variation,0.weightId,0.list.0,0.list.1,0.list.2,0.list.3,0.list.4,0.list.5,0.list.6,0.list.7,0.list.8,0.list.9,0.list.10,0.list.11,0.list.12,0.list.13,0.list.14,0.list.15,0.list.16,0.list.17,1.interval,1.variation,1.weightId,1.list.0,1.list.1,1.list.2,1.list.3,1.list.4,1.list.5,1.list.6,1.list.7,*rates*
null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,王子hp,0,28,29,40,[,1,false,0,1,0,11,8,8,8,2,12,12,11,8,14,9,12,10,5,8,9,10,true,361,68,88,43,45,18,20,20,10,]
2,王子mp,0,28,29,6,[,1,false,0,0,0,0,0,0,0,2,0,0,3,3,0,5,0,4,5,0,4,10,true,361,20,40,20,8,8,11,11,30,]
3,王子力,0,28,29,25,[,1,false,0,0,1,0,1,0,1,0,0,2,4,5,2,4,1,6,2,2,1,10,true,361,33,42,68,56,65,13,22,24,]
4,王子すばやさ,0,28,29,6,[,1,false,0,0,0,0,0,0,0,12,0,0,2,5,0,9,1,5,0,3,9,10,true,361,73,63,37,35,40,10,10,30,]
5,王子守り,0,28,29,1,[,1,false,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0,0,1,0,1,10,true,361,5,5,10,10,10,10,10,50,]
6,王子かしこさ,0,28,29,1,[,1,false,0,0,0,0,0,0,0,4,3,0,0,0,4,0,0,7,6,2,5,10,true,361,20,16,14,39,9,6,6,8,]
7,王子運,0,28,29,1,[,1,false,0,0,0,0,0,0,0,3,1,1,0,4,0,3,0,0,0,3,0,10,true,361,18,28,25,58,55,34,34,52,]
8,姫hp,0,28,29,15,[,1,false,0,3,2,5,0,4,3,3,5,5,1,4,3,7,2,3,2,10,7,10,true,361,82,90,46,54,44,36,34,10,]
9,姫mp,0,28,29,7,[,1,false,0,1,3,0,3,1,5,7,5,1,3,2,10,2,6,6,3,5,10,10,true,361,72,60,48,60,80,50,40,10,]
10,姫力,0,28,29,1,[,1,false,0,0,0,2,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,10,true,361,6,5,9,16,10,4,8,48,]
11,姫すばやさ,0,28,29,2,[,1,false,0,0,1,0,3,4,0,2,0,2,0,3,0,0,2,4,0,3,2,10,true,361,24,26,24,28,34,26,23,67,]
