comment,名前,タイプ,素材,パラメータ,,,,
comment,,0:画像,assetsからのパス,x,y,width,height,グリッド単位
comment,,1:文字,フォント名,サイズ,ウェイト,色,ストローク厚み,ストローク色
comment,,2:色,,,,width,height,色の指定進数
id,name,type,familyName,param1,param2,param3,param4,param5
null,,,,,,,,
1,ピクチャ画像,0,enemies,0,0,0,0,0
2,ピクチャフォント,1,GamePicture,64,0,0xFFFFFF,5,0xFF0000
3,やり,0,window,0,0,64,64,0
4,はね,0,window,64,0,64,64,0
5,こうら,0,window,128,0,64,64,0
6,クレジット種類フォント,1,GamePicture,40,0,0xFF0000,2,0xFFFFFF
7,クレジット名フォント,1,GamePicture,32,0,0xFFFFFF,2,0xC8BFE7
8,おしまいフォント,1,GamePicture,96,0,0xEE8AF8,8,0xFFFD55
9,画面全体,2,color,0,0,512,512,16
10,けん,0,window,192,0,64,64,0
11,タイトルフォント上,1,GamePicture,128,0,0x118AF8,4,0xF0FDE8
12,タイトルフォント下,1,GamePicture,96,0,0x118AF8,4,0xF0FDE8
