comment,名前,マップId,横位置,縦位置,
comment,(s):セーブ位置 (c)ワープ位置 (d)全滅位置,,,,
id,name,mapId,x,y,
null,,,,,
1,ラプリエール(c),1,241,253,
2,城外れの家（c）,1,244,244,
3,アルビエ（c）,1,188,255,
4,癒しの家（c）,1,186,281,
5,いやしの木（c）,1,210,283,
6,北の洞窟南（c）,1,215,235,
7,北の洞窟北（c）,1,217,230,
8,ポートムード（c）,1,184,224,
9,イルデリ港（c）,1,185,215,
10,魔女の塔（c）,1,200,195,
11,ピクサル山道←（c）,1,272,198,
12,ピクサル山道→（c）,1,274,197,
13,ピクサル山道↓（c）,1,273,203,
14,ブラス（c）,1,254,243,
15,モングロ山（c）,1,249,249,
16,ラプリエール(d),16,29,15,
17,アルビエ（d）,21,25,25,
18,ポートムード（d）,31,44,43,
19,ブラス（d）,46,13,12,
20,船初期位置,73,41,15,
21,ラプリエール城下町(s),16,11,24,
22,アルビエ(s),21,6,20,
23,ポートムード(s),31,36,29,
24,ブラス(s),46,31,26,
25,停泊所(c),1,108,250,
26,イリシア(c),1,98,220,
27,ペドロウム(c),1,49,242,
28,南の遺跡(c),1,34,282,
29,古の神殿(c),1,33,200,
30,シュタージ(c),1,73,158,
31,しれんのどうくつ(c),1,21,162,
32,ひかりのとう(c),1,90,112,
33,ピクサルどうくつ(c),41,15,13,
34,ナクリアル(c),1,54,77,
35,やみのどうくつ(c),1,23,31,
36,イトランド(c),1,125,66,
37,レゼ(c),1,112,93,
38,つうこうろ↑(c),1,94,102,
39,つうこうろ↓(c),1,93,105,
40,ドレイス(c),1,178,102,
41,停泊所(d),56,18,27,
42,イリシア(d),58,18,25,
43,ペドロウム(d),61,28,32,
44,シュタージ(d),73,46,44,
45,ナクリアル(d),87,28,33,
46,イトランド(d),96,9,10,
47,ドレイス(d),101,36,34,
48,うさぎおうこく(d),116,30,9,
49,レイドス(c),1,166,107,
50,うさぎのいわやま(c),1,76,141,
51,停泊所(s),56,19,24,
52,イリシア(s),58,33,14,
53,ペドロウム(s),61,17,27,
54,シュタージ(s),73,22,44,
55,ナクリアル(s),87,34,33,
56,レゼ(s),99,6,15,
57,ドレイス(s),101,26,24,
58,うさぎおうこく(s),116,20,47,
59,うさぎさんどう(c),1,73,94,
60,うさぎおうこく(c),116,23,47,
61,シュタージ(船),1,74,156,
62,しれんのどうくつ(船),1,44,157,
63,ひかりのとう(船),1,94,111,
64,ナクリアル(船),1,57,77,
65,やみのどうくつ(船),1,40,64,
66,イトランド(船),1,125,67,
67,レゼ(船),1,101,92,
68,つうこうろ(船),1,93,103,
69,ドレイス(船),1,175,102,
70,レイドス(船),1,148,107,
71,うさぎのいわやま(船),1,83,143,
72,うさぎのふもと(船),1,63,94,
73,うさぎのかみ(c),132,20,24,
73,ラプリエール(終),134,13,14,
