comment,,名称Id,リスト,,,,,,,,,,,,,,,,,,,,,,,,,
id,,termId,*list*,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,*list*
null,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,王子移動,62,[,15,18,,,,,,,,,,,,,,,,,,,,,,,]
2,姫移動,61,[,31,32,33,34,35,66,70,77,,,,,,,,,,,,,,,,,]
3,宮女移動,61,[,79,76,78,,,,,,,,,,,,,,,,,,,,,,]
4,魔法使い移動,61,[,79,76,,,,,,,,,,,,,,,,,,,,,,,]
5,僧侶移動,61,[,31,32,33,66,69,70,,,,,,,,,,,,,,,,,,,]
6,王子戦闘,62,[,11,12,16,14,13,17,19,20,,,,,,,,,,,,,,,,,]
7,姫戦闘,61,[,31,66,36,39,42,45,48,73,32,34,37,40,43,46,49,82,33,35,38,41,44,47,50,70,]
8,宮女戦闘,61,[,54,56,80,60,62,74,67,68,55,57,81,61,63,75,64,72,,,,,,,,,]
9,魔法使い戦闘,61,[,39,40,42,43,51,52,58,60,41,73,44,67,53,63,59,61,,,,,,,,,]
10,僧侶戦闘,61,[,31,56,32,69,45,46,64,68,33,57,80,70,47,75,71,72,,,,,,,,,]
