comment,,回復率,上書きメッセージ,,,,上書きアニメーション,,,
comment,,,,,,,,,,
comment,,,,,,,,,,
comment,,,,,,,,,,
comment,,,,,,,,,,
id,,removeRateId,*messageIds*,damage1,damage2,*messageIds*,*animationIds*,damage1,damage2,*animationIds*
null,,,,,,,,,,
1,毒攻撃,0,{,0,0,},{,0,0,}
2,毒回復,0,{,0,0,},{,0,0,}
3,蘇生１,0,{,0,0,},{,0,0,}
4,蘇生２,0,{,0,0,},{,0,0,}
5,眠りの気,0,{,0,0,},{,0,0,}
6,毒の息,0,{,0,0,},{,0,0,}
7,魂抜き,0,{,139,140,},{,16,17,}
8,消滅,0,{,141,141,},{,0,18,}
9,はじけとび罰,0,{,144,144,},{,0,0,}
10,命中減長,57,{,0,0,},{,0,0,}
11,眠り長,58,{,0,0,},{,0,0,}
12,浄化,0,{,143,143,},{,16,35,}
13,封呪長,60,{,0,0,},{,0,0,}
14,攻撃増無限,0,{,0,0,},{,0,0,}
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
