comment,地形,出現率,戦闘背景,,ダメージ値,アニメId,
comment,,rate指定,,,,,
id,name,encounterRateId,battleBackName,*damage*,value,animationId,*damage*
0,,,,,,,
1,草原,31,pipo-battlebg001a.jpg,{,0,0,}
2,しげみ,32,pipo-battlebg001a.jpg,{,0,0,}
3,森,33,pipo-battlebg002a.jpg,{,0,0,}
4,山,34,pipo-battlebg006a.jpg,{,0,0,}
5,砂漠,35,pipo-battlebg003a.jpg,{,0,0,}
6,毒沼,36,pipo-battlebg010a.jpg,{,2,21,}
7,岩山,37,pipo-battlebg005a.jpg,{,0,0,}
8,海,38,pipo-battlebg007a.jpg,{,0,0,}
9,ダンジョン,39,pipo-battlebg008a.jpg,{,0,0,}
10,塔,39,pipo-battlebg009a.jpg,{,0,0,}
11,バリア,36,pipo-battlebg010a.jpg,{,15,47,}
12,しんどう,31,pipo-battlebg020a_s094.png,{,0,0,}
13,レイドス外,39,pipo-battlebg014a.jpg,{,0,0,}
14,レイドス中,39,pipo-battlebg015a.jpg,{,0,0,}
