comment,,通常攻撃スキル,加算攻撃回数,攻撃力,特攻（種族）,特殊効果,ダメージ補正
comment,,,,,NumberList,actionの,correct指定
comment,,,,,⇒NumberMap,effectIdsに,
comment,,,,,key=種族Id,常時追加,
comment,,,,,value=correctId,,
id,,skillId,numRepeat,value,specialId,effectId,correctId
null,,,,,,,
1,きのメイス,0,0,5,0,0,0
2,ほそみのけん,0,0,12,0,0,0
3,かわのムチ,0,0,15,0,0,0
4,ふたばのたんけん,0,0,22,0,0,0
5,とげのムチ,0,0,25,0,0,0
6,てつのやり,0,0,32,0,0,0
7,いやしのつえ,0,0,10,0,0,0
8,てつのメイス,0,0,16,0,0,0
9,てつのつるぎ,0,0,36,0,0,0
10,フレキシブルソード,0,0,39,0,0,0
11,はがねのつるぎ,0,0,48,0,0,0
12,ほのおのつえ,0,0,26,0,0,0
13,シルバーナイフ,0,0,32,286,0,0
14,ブーメラン,7,0,2,0,0,0
15,かえんのつえ,0,0,33,0,0,0
16,せいなるやり,0,0,51,286,0,0
17,スイングソード,8,0,60,0,0,0
18,クロスブーメラン,7,0,24,0,0,0
19,はやぶさのけん,0,239,10,0,0,0
20,きりょくのつえ,0,0,18,0,0,0
21,ルーンスタッフ,0,0,62,0,0,0
22,こおるつるぎ,0,0,84,0,0,0
23,ねむりのつるぎ,0,0,40,0,141,0
24,げんきのつえ,0,0,24,286,0,0
25,ふんさいメイス,0,0,37,0,129,0
26,やみのつえ,0,0,34,0,0,0
27,しゅごのけん,0,0,92,0,0,0
28,はおうのつるぎ,0,0,115,0,0,0
29,クリスタルソード,0,0,150,0,0,0
30,うさぎのけん,0,0,130,0,0,0
31,うさぎのつの,0,0,105,0,0,0
